id,name,user_id,relationship_id,create_uid,write_uid,active,create_date,write_date
1,16,10,1,2,2,t,2024-04-21 12:35:33.031206,2024-04-21 12:38:53.83881
2,18,12,1,2,2,t,2024-04-22 14:37:30.443785,2024-04-22 14:38:18.554169
