id,company_id,address_id,create_uid,write_uid,name,location_type,location_number,active,create_date,write_date
1,1,1,1,1,Home,home,,t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
2,1,1,1,1,Office,office,,t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
3,1,1,1,1,Other,other,,t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
