id,view_id,sequence,create_uid,write_uid,image,pdf,name,create_date,write_date
1,199,5,1,1,,,Striped,2024-04-18 07:38:51.528016,2024-04-18 07:38:51.528016
2,202,2,1,1,,,Light,2024-04-18 07:38:51.528016,2024-04-18 07:38:51.528016
3,200,3,1,1,,,Boxed,2024-04-18 07:38:51.528016,2024-04-18 07:38:51.528016
4,201,4,1,1,,,Bold,2024-04-18 07:38:51.528016,2024-04-18 07:38:51.528016
