id,sequence,company_id,past_months_limit,create_uid,write_uid,rule_type,matching_order,match_nature,match_amount,match_label,match_label_param,match_note,match_note_param,match_transaction_type,match_transaction_type_param,payment_tolerance_type,decimal_separator,name,active,auto_reconcile,to_check,match_text_location_label,match_text_location_note,match_text_location_reference,match_same_currency,allow_payment_tolerance,match_partner,create_date,write_date,match_amount_min,match_amount_max,payment_tolerance_param
1,1,1,18,1,1,invoice_matching,old_first,both,,,,,,,,percentage,.,"{""en_US"": ""Invoices/Bills Perfect Match""}",t,t,f,t,f,f,t,t,t,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217,,,0
2,2,1,18,1,1,invoice_matching,old_first,both,,,,,,,,percentage,.,"{""en_US"": ""Invoices/Bills Partial Match if Underpaid""}",t,f,f,t,f,f,t,f,t,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217,,,0
