id,sequence,create_uid,write_uid,name,is_published,create_date,write_date
1,20,1,1,"{""en_US"": ""Tags""}",t,2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362
2,10,1,1,"{""en_US"": ""Your Level""}",t,2024-04-18 07:47:26.604362,2024-04-18 07:47:26.604362
