id,model_id,sidebar_action_id,create_uid,write_uid,template_fs,lang,model,name,body,create_date,write_date
1,545,,1,1,event_sms/data/sms_data.xml,{{ object.partner_id.lang }},event.registration,"{""en_US"": ""Event: Registration""}","{""en_US"": ""{{ object.event_id.organizer_id.name or object.event_id.company_id.name or user.env.company.name }}: We are happy to confirm your registration for the {{ object.event_id.name }} event.""}",2024-04-18 07:46:59.97732,2024-04-18 07:46:59.97732
2,545,,1,1,event_sms/data/sms_data.xml,{{ object.partner_id.lang }},event.registration,"{""en_US"": ""Event: Reminder""}","{""en_US"": ""Ready for \""{{ object.event_id.name }}\"" {{ object.get_date_range_str(object.partner_id.lang) }}?\n{{ 'It starts at %s' % format_time(time=object.event_begin_date, tz=object.event_id.date_tz, time_format='short', lang_code=object.partner_id.lang) + (', at %s' % object.event_id.address_inline if object.event_id.address_inline else '') + '.\\nSee you there!' if object.event_id.address_inline or 'website_published' not in object.event_id._fields else 'Join us on %s/event/%i!' % (object.get_base_url(), object.event_id.id) }}""}",2024-04-18 07:46:59.97732,2024-04-18 07:46:59.97732
