id,due_days,fees_id,create_uid,write_uid,due_date,create_date,write_date,value
1,10,7,2,2,,2024-04-24 08:39:46.801515,2024-04-24 08:39:46.801515,50
2,20,7,2,2,,2024-04-24 08:39:46.801515,2024-04-24 08:39:46.801515,50
