id,sequence,create_uid,write_uid,name,create_date,write_date
1,300,1,1,"{""en_US"": ""Finance""}",2024-04-18 07:40:51.67663,2024-04-18 07:40:51.67663
2,100,1,1,"{""en_US"": ""Sales""}",2024-04-18 07:40:51.67663,2024-04-18 07:40:51.67663
3,800,1,1,"{""en_US"": ""Human Resources""}",2024-04-18 07:40:51.67663,2024-04-18 07:40:51.67663
4,700,1,1,"{""en_US"": ""Website""}",2024-04-18 07:40:51.67663,2024-04-18 07:40:51.67663
5,500,1,1,"{""en_US"": ""Services""}",2024-04-18 07:40:51.67663,2024-04-18 07:40:51.67663
6,400,1,1,"{""en_US"": ""Logistics""}",2024-04-18 07:40:51.67663,2024-04-18 07:40:51.67663
7,600,1,1,"{""en_US"": ""Marketing""}",2024-04-18 07:47:44.658806,2024-04-18 07:47:44.658806
