id,user_id,old_value,new_value,create_uid,write_uid,origin_ref,origin_ref_model_name,reason,consolidated,tracking_date,create_date,write_date
1,1,0,2500,1,1,"res.users,1",res.users,I am the Root!,,2024-04-18 07:41:12,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
2,2,0,2500,1,1,"res.users,1",res.users,I am the Admin!,,2024-04-18 07:41:12,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
