id,user_id,sender_id,badge_id,challenge_id,create_uid,write_uid,level,comment,create_date,write_date,employee_id
1,2,,9,7,1,1,gold,,2024-04-19 07:41:28.827644,2024-04-19 07:41:28.827644,
2,2,,5,3,1,1,bronze,,2024-04-19 07:41:28.933158,2024-04-19 07:41:28.933158,
