gid,hid
2,1
4,2
4,3
1,7
1,6
4,12
1,12
14,1
15,14
18,17
18,3
4,18
11,19
10,19
21,1
22,4
23,22
23,21
23,9
28,27
29,1
29,12
31,1
32,31
32,12
10,20
1,20
11,20
40,39
44,1
45,44
46,45
46,12
47,1
48,47
49,48
49,12
51,1
52,1
53,52
53,51
54,52
61,60
49,17
66,17
67,66
44,47
46,17
1,50
11,50
10,50
71,1
71,21
72,71
22,72
73,1
73,21
74,73
22,74
75,1
75,21
76,75
22,76
77,1
77,21
78,77
22,78
79,1
79,21
80,79
22,80
81,1
81,21
82,81
22,82
83,22
84,1
84,52
22,21
22,9
22,52
