view_id,group_id
170,4
231,1
231,10
233,1
279,1
281,1
505,1
523,1
709,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
801,1
802,1
803,1
805,1
806,1
808,1
809,1
810,1
812,1
1547,1
1576,1
1577,1
1578,1
1579,1
1580,1
1581,1
1582,1
1583,1
1584,1
1585,1
1679,10
1679,1
1680,10
1680,1
1682,10
1682,1
1746,1
1747,1
2107,1
