id,currency_id,company_id,group_id,root_id,create_uid,write_uid,code,account_type,internal_group,name,note,deprecated,include_initial_balance,reconcile,non_trade,create_date,write_date
81,,1,,57057,1,1,999002,expense,expense,"{""en_US"": ""Cash Difference Loss""}",,f,f,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
82,,1,,49048,1,1,100801,asset_current,asset,"{""en_US"": ""Liquidity Transfer""}",,f,t,t,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
83,,1,,57057,1,1,999999,equity_unaffected,equity,"{""en_US"": ""Undistributed Profits/Losses""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
1,,1,,49048,1,1,100310,asset_current,asset,"{""en_US"": ""Inventories""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
2,,1,,49048,1,1,100400,asset_receivable,asset,"{""en_US"": ""Debtors""}",,f,t,t,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
3,,1,,49048,1,1,100410,asset_receivable,asset,"{""en_US"": ""Debtors (PoS)""}",,f,t,t,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
4,,1,,49048,1,1,100510,asset_current,asset,"{""en_US"": ""SGST Receivable""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
5,,1,,49048,1,1,100520,asset_current,asset,"{""en_US"": ""CGST Receivable""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
6,,1,,49048,1,1,100530,asset_current,asset,"{""en_US"": ""IGST Receivable""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
7,,1,,49048,1,1,100570,asset_current,asset,"{""en_US"": ""Reverse Charge Tax Receivable""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
8,,1,,49048,1,1,100580,asset_current,asset,"{""en_US"": ""TDS Receivable""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
9,,1,,49048,1,1,100590,asset_current,asset,"{""en_US"": ""Tax Current Account - Receivable""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
10,,1,,49048,1,1,100610,asset_current,asset,"{""en_US"": ""Deposit Account""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
11,,1,,49048,1,1,100710,asset_current,asset,"{""en_US"": ""Prepaid Insurance""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
12,,1,,49048,1,1,101100,asset_fixed,asset,"{""en_US"": ""Buildings""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
13,,1,,49048,1,1,101200,asset_fixed,asset,"{""en_US"": ""Land""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
14,,1,,49048,1,1,101300,asset_fixed,asset,"{""en_US"": ""Equipment""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
15,,1,,49048,1,1,101400,asset_fixed,asset,"{""en_US"": ""Vehicle""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
16,,1,,49048,1,1,101500,asset_fixed,asset,"{""en_US"": ""Computer/Laptops (Assets)""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
17,,1,,49048,1,1,101600,asset_fixed,asset,"{""en_US"": ""Furniture""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
18,,1,,49048,1,1,101700,asset_fixed,asset,"{""en_US"": ""Air Conditionar""}",,f,t,f,f,2024-04-18 07:47:52.331217,2024-04-18 07:47:52.331217
