id,create_uid,write_uid,name,active,create_date,write_date
1,1,1,Website,t,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
2,1,1,Phone,t,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
3,1,1,Direct,t,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
4,1,1,Email,t,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
5,1,1,Banner,t,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
6,1,1,Twitter,t,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
7,1,1,Facebook,t,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
8,1,1,LinkedIn,t,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
9,1,1,Television,t,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
10,1,1,Google Adwords,t,2024-04-18 07:40:30.073315,2024-04-18 07:40:30.073315
