id,sequence,company_id,user_id,color,create_uid,write_uid,name,active,create_date,write_date,invoiced_target
1,0,,,,1,1,"{""en_US"": ""Sales""}",t,2024-04-18 07:46:37.983166,2024-04-18 07:46:37.983166,
3,10,,,,1,1,"{""en_US"": ""Point of Sale""}",f,2024-04-18 07:46:37.983166,2024-04-18 07:46:37.983166,
4,10,1,,,1,1,"{""en_US"": ""eBay""}",f,2024-04-18 07:46:37.983166,2024-04-18 07:46:37.983166,
2,10,,,,1,1,"{""en_US"": ""Website""}",t,2024-04-18 07:46:37.983166,2024-04-18 07:47:35.565337,
