id,relation_field_id,model_id,related_field_id,size,create_uid,write_uid,name,complete_name,model,relation,relation_field,ttype,related,state,on_delete,domain,relation_table,column1,column2,depends,currency_field,field_description,help,compute,copied,required,readonly,index,translate,group_expand,selectable,store,sanitize,sanitize_overridable,sanitize_tags,sanitize_attributes,sanitize_style,sanitize_form,strip_style,strip_classes,create_date,write_date,tracking,website_form_blacklisted
8609,,593,,,,,figure_type,,account.report.column,,,selection,,base,,,,,,,,"{""en_US"": ""Figure Type""}",,,t,t,f,f,f,,t,t,,,,,,,,,,,,t
8610,,593,,,,,blank_if_zero,,account.report.column,,,boolean,,base,,,,,,,,"{""en_US"": ""Blank if Zero""}","{""en_US"": ""When checked, 0 values will not show in this column.""}",,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8611,,593,,,,,custom_audit_action_id,,account.report.column,ir.actions.act_window,,many2one,,base,set null,,,,,,,"{""en_US"": ""Custom Audit Action""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8612,,593,,,,,id,,account.report.column,,,integer,,base,,,,,,,,"{""en_US"": ""ID""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8613,,593,,,,,display_name,,account.report.column,,,char,,base,,,,,,,,"{""en_US"": ""Display Name""}",,,f,f,t,f,f,,f,f,,,,,,,,,,,,t
8614,,593,,,,,create_uid,,account.report.column,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Created by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8615,,593,,,,,create_date,,account.report.column,,,datetime,,base,,,,,,,,"{""en_US"": ""Created on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8616,,593,,,,,write_uid,,account.report.column,res.users,,many2one,,base,set null,,,,,,,"{""en_US"": ""Last Updated by""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8617,,593,,,,,write_date,,account.report.column,,,datetime,,base,,,,,,,,"{""en_US"": ""Last Updated on""}",,,t,f,t,f,f,,t,t,,,,,,,,,,,,t
8618,,594,,,,,name,,account.report.external.value,,,char,,base,,,,,,,,"{""en_US"": ""Name""}",,,t,t,f,f,f,,t,t,,,,,,,,,,,,t
8619,,594,,,,,value,,account.report.external.value,,,float,,base,,,,,,,,"{""en_US"": ""Numeric Value""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8620,,594,,,,,text_value,,account.report.external.value,,,char,,base,,,,,,,,"{""en_US"": ""Text Value""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,,t
8621,,594,,,,,date,,account.report.external.value,,,date,,base,,,,,,,,"{""en_US"": ""Date""}",,,t,t,f,f,f,,t,t,,,,,,,,,,,,t
8622,,594,,,,,target_report_expression_id,,account.report.external.value,account.report.expression,,many2one,,base,cascade,,,,,,,"{""en_US"": ""Target Expression""}",,,t,t,f,f,f,,t,t,,,,,,,,,,,,t
8623,,594,,,,,target_report_line_id,,account.report.external.value,account.report.line,,many2one,target_report_expression_id.report_line_id,base,,,,,,,,"{""en_US"": ""Target Line""}",,,f,f,t,f,f,,t,f,,,,,,,,,,,,t
8624,,594,,,,,target_report_expression_label,,account.report.external.value,,,char,target_report_expression_id.label,base,,,,,,,,"{""en_US"": ""Target Expression Label""}",,,f,f,t,f,f,,t,f,,,,,,,,,,,,t
8625,,594,,,,,report_country_id,,account.report.external.value,res.country,,many2one,target_report_line_id.report_id.country_id,base,,,,,,,,"{""en_US"": ""Country""}",,,f,f,t,f,f,,t,f,,,,,,,,,,,,t
2845,,356,,,,,birthday,,hr.employee,,,date,,base,,,,,,,,"{""en_US"": ""Date of Birth""}",,,t,f,f,f,f,,t,t,,,,,,,,,,,100,t
